
;────────────
;범용 캐릭터 라인 변수
;────────────

;<※>       현재 정의(대입)를 하지 않은 플래그
;! 말소 예정! 말소 예정 플래그(주로 후방 호환이기 때문에 존재)

;────────────────────────────────────
;조교지령 명칭(ACT) 통상 행동 0-199
;────────────────────────────────────

;-------------------------------------------------
;회화계
;-------------------------------------------------
0,지금의기분을얘기한다
1,자신에게로의기분을얘기한다
2,성에대한이야기를한다
3,상냥하게위로한다
4,엄격하게위협한다
5,의상의변경을요구한다
6,합의를요구한다
7,벌이라고선언한다
8,고함친다
9,기분나쁘게웃는다

;-------------------------------------------------
;애무계
;-------------------------------------------------
10,손으로애무
11,가슴애무
12,입으로애무
13,애널애무
14,애널핥기
15,키스
16,성기를서로켠다
17,파이즈리한다
18,풋잡한다
19,손가락삽입해라

;-------------------------------------------------
;도구계
;-------------------------------------------------
20,로터
21,바이브
22,애널바이브
23,애널비즈
24,Ｃ애무도구
25,니플캡
26,페니스밴드

;-------------------------------------------------
;애무계
;-------------------------------------------------
27,쓰러트린다

;-------------------------------------------------
;성교계
;-------------------------------------------------
30,정상위
31,후배위
32,기승위
33,대면좌위
34,배면좌위
35,애널섹스

;-------------------------------------------------
;수치계
;-------------------------------------------------
40,자위
41,비패개장
42,자위과시
43,수치플레이
44,야외플레이
45,방뇨
46,코스프레

;-------------------------------------------------
;봉사계
;-------------------------------------------------
50,손으로애무를강제
51,입으로애무를강제
52,파이즈리
53,가랑이
55,밟핥기강제
56,이라마치오
57,가슴애무강제

;-------------------------------------------------
;가학계
;-------------------------------------------------
60,스팽킹
61,채찍
62,바늘
63,줄
64,아이마스크
65,볼개그
66,매도
67,삼각목마
68,관장세트

;-------------------------------------------------
;이상계
;-------------------------------------------------
70,피스트퍽
71,애널피스트
72,양구멍피스트
73,방치플레이
74,공중육변기플레이
75,페니스밴드장착

;-------------------------------------------------
;사역계（미실장）
;-------------------------------------------------
80,촉수소환

;-------------------------------------------------
;휴식계
;-------------------------------------------------
90,쉬게한다
91,영양제를먹인다
92,치료한다

;-------------------------------------------------
;성교 봉사계
;-------------------------------------------------
95,정상위시킨다
96,후배위시킨다
97,대면좌위시킨다
98,배면좌위시킨다
99,애널섹스시킨다
103,역강간

;────────────────────────────────────
;조교지령 명칭(SPACT) 200-299
;────────────────────────────────────
200,파스웨이젼니돌
201,팔방귀박진
202,광기의눈동자

;────────────────────────────────────
;조교지령 명칭(조수 콤비 파생 ACT)
;────────────────────────────────────
300,Ｗ수음
301,Ｗ페라
302,Ｗ키스
303,Ｗ가랑이
304,Ｗ파이즈리
305,Ｗ풋잡
306,승마두구멍공격
307,대면두구멍공격
308,변칙혼란모란
309,애널두구멍공격
310,Ｗ역강간
311,골짜기를건너감
312,2개핥기강제

;────────────────────────────────────
;조수 행동 명칭(조수ACT)  800-999
;────────────────────────────────────
801,입으로애무
802,가랑이
803,파이즈리한다
804,풋잡한다
805,Ｃ도구
806,역강간
807,손으로애무

810,애널애무
811,애널핥기
812,애널로터
813,애널바이브

820,가슴애무
821,유두핥기
822,유두로터

830,손가락삽입
831,바이브
832,성교

840,키스
841,안면승마
842,다리를빨게한다

850,자위과시
851,매도
852,사진촬영
853,조교자와키스
854,치태를응시한다

860,머리를짓밟는다

870,탈의
871,약품
872,대기

;────────────────────────────────────
;조수 행동 명칭(조수SPACT)
;────────────────────────────────────
900,신문의기사로한다

;────────────────────────────────────
;1000～1100  <※>절정의 표시에 사용한다
;────────────────────────────────────

;────────────────────────────────────
;굴복 실적(조교 이력) 1300-1427
;────────────────────────────────────
;문언 변경＆코멘트 부가. 니이가타식 대응(조정)@revkoishi(14/05/28)
